30.713,33.754,27.002,29.702,66277506
28.986,29.027,26.872,27.257,16142920
27.886,29.702,27.044,29.702,6970266
28.688,29.446,27.002,27.002,6332082
27.083,28.309,27.002,27.717,5132147
27.594,28.012,27.509,27.807,1832635
27.676,28.65,27.38,28.432,4317826
28.35,28.986,27.634,28.48,4567146
28.48,29.324,28.273,28.986,3133746
29.532,30.375,29.155,29.786,3252997
30.336,30.842,29.909,30.039,3223074
30.547,31.348,30.505,30.883,2385046
30.883,31.052,29.909,30.547,2348161
30.547,30.795,30.249,30.505,2000481
30.547,31.012,30.547,30.924,2150096
30.842,31.012,30.209,30.209,1764043
30.713,31.221,29.958,30.713,4260349
30.635,30.635,28.391,29.027,2467856
28.35,28.561,27.676,28.142,3091820
28.35,31.896,28.35,31.896,2738063
31.308,31.808,30.674,31.012,3929255
31.221,31.687,31.134,31.646,1268225
31.517,31.517,31.052,31.47,2394232
31.47,32.104,31.261,32.104,2019439
32.065,33.754,32.025,33.582,2288310
33.712,35.906,33.455,35.648,2150692
36.62,41.514,36.412,41.514,3772374
42.528,53.369,42.487,48.602,11146026
51.302,54.003,50.122,53.497,7069075
53.666,53.966,51.473,52.188,2046399
53.161,53.286,45.483,48.602,4953196
45.984,46.495,43.708,44.89,5049339
44.722,44.89,40.71,42.109,6102164
41.596,41.854,39.232,40.502,2685624
39.869,44.512,39.826,43.878,2987826
46.577,46.997,45.604,46.536,2276607
46.536,46.536,44.849,45.902,1966701
45.902,45.902,43.243,44.972,1515174
46.157,47.125,44.553,45.646,1202005
45.226,46.833,45.226,46.157,1395477
46.322,49.198,45.984,48.264,2227130
48.602,48.602,47.125,47.252,2781469
47.76,47.846,45.563,45.984,2127733
46.659,46.833,44.849,46.41,2032774
46.241,48.475,45.902,46.241,2220909
46.41,46.997,44.849,45.694,1222598
45.861,46.746,45.821,46.111,1083348
47.171,47.59,45.399,46.199,920391
46.914,46.914,45.523,45.942,1705234
45.604,45.646,43.708,44.681,1102457
44.722,48.602,44.722,47.928,1488060
48.522,51.638,48.306,51.638,2061219
50.757,52.485,49.825,52.485,1885666
52.485,52.485,50.627,51.473,1214003
52.443,54.003,51.473,53.666,1350291
54.508,55.482,52.823,53.328,1239483
52.397,53.118,51.094,51.137,1253406
51.977,53.2,50.839,51.768,1130454
51.638,51.85,50.499,50.884,796545
50.799,51.937,50.499,51.599,887651
51.68,56.027,51.68,55.272,2137950
54.003,55.272,53.585,54.678,1909225
54.678,65.479,52.397,65.479,1001279
59.743,64.723,59.444,63.286,4302270
64.804,65.736,60.754,61.766,2360903
61.849,67.842,61.849,66.829,1790859
68.436,77.927,67.842,72.064,3132706
69.79,76.914,69.705,72.988,2170391
72.988,73.709,66.322,68.179,1775307
68.475,72.149,68.389,70.116,1015202
70.54,75.445,70.373,73.661,1099788
74.207,74.25,69.194,71.072,1259191
70.838,75.445,70.838,72.904,1288372
76.278,109.37,75.945,107.32,6033135
105.3,108.7,88.429,95.852,8170788
98.557,102.6,94.505,102.6,4189831
99.238,103.96,97.881,103.28,2664586
103.28,104.56,94.505,95.852,2627257
87.798,93.793,87.417,88.603,2783398
89.782,91.807,80.243,81.935,3733120
86.486,86.486,76.448,77.122,3227960
78.309,83.034,75.604,79.695,2934795
80.534,85.729,79.737,81.764,1657087
81.298,82.02,76.278,76.789,1505395
74.764,77.629,71.386,77.629,2679105
76.659,81.638,73.62,80.625,2085359
80.501,83.539,78.981,80.799,2068327
80.16,81.68,78.476,81.007,1303922
79.786,80.666,76.408,77.122,897284
76.957,82.311,76.617,80.412,1475618
80.328,81.68,74.25,75.604,1324963
73.037,75.945,66.91,70.878,2155581
71.553,71.553,60.754,70.2,3955624
69.534,69.705,61.935,66.154,2152023
66.154,69.112,55.352,63.116,3729859
62.61,67.423,60.835,65.439,2234981
66.409,70.878,65.519,70.878,1457101
72.571,84.378,72.274,82.353,3152707
82.353,82.353,71.13,72.317,3132413
68.179,70.796,67.207,68.137,2009215
66.154,66.997,56.027,58.05,4611142
59.404,65.479,58.731,60.754,3959474
59.233,60.375,54.678,55.818,3033455
54.043,55.772,49.318,53.666,2922053
52.652,59.404,50.71,58.731,3982439
58.731,60.713,56.704,58.897,2568592
59.323,61.935,58.984,60.713,1539762
58.81,62.359,57.418,61.849,1799899
63.872,64.508,60.754,60.754,1190302
64.21,64.259,61.849,62.022,1034753
60.16,62.948,60.079,61.26,2417342
60.754,60.794,58.689,59.822,1885521
59.822,64.973,59.822,64.385,2008774
66.322,70.283,65.775,68.024,4513519
65.815,66.154,60.498,61.766,2466226
61.766,61.766,59.571,60.922,1259191
60.883,63.075,60.498,61.725,1338738
62.022,62.022,57.083,57.208,1142599
57.714,58.39,53.03,54.131,1821079
53.328,53.794,51.137,51.977,1696940
52.315,53.585,51.302,51.68,1782268
56.704,66.154,55.522,61.133,14375169
60.754,61.429,57.46,59.53,4707875
60.835,65.439,59.404,59.743,6115052
56.198,56.534,51.85,52.652,13193461
52.652,53.286,47.928,47.928,6520515
49.067,50.42,44.634,44.972,5574941
45.226,45.902,40.461,42.109,8287227
41.811,42.697,38.182,39.154,5525759
38.983,40.461,36.454,39.826,8431959
39.998,46.41,39.321,46.41,8136122
45.226,46.241,43.41,43.878,5251995
44.681,51.599,44.594,50.884,5657302
49.954,52.781,49.109,49.696,4671285
50.25,51.513,49.109,49.277,4183758
49.615,55.352,49.615,55.186,18105619
54.678,56.534,51.638,53.328,11278019
50.757,50.963,46.619,47.928,12907401
47.252,48.772,44.215,45.226,12103748
45.226,47.125,45.099,46.659,10142232
47.084,49.15,47.084,47.846,9823136
